symbol
RELIANCE
TCS
HDFCBANK
ICICIBANK
INFY
HINDUNILVR
ITC
SBIN
BHARTIARTL
KOTAKBANK
AXISBANK
LT
HCLTECH
ASIANPAINT
MARUTI
SUNPHARMA
TITAN
BAJFINANCE
ULTRACEMCO
WIPRO
NESTLEIND
ADANIENT
ONGC
JSWSTEEL
POWERGRID
TATASTEEL
M&M
NTPC
ADANIPORTS
COALINDIA
HDFCLIFE
SBILIFE
GRASIM
BAJAJ-AUTO
TECHM
DIVISLAB
CIPLA
BRITANNIA
DRREDDY
EICHERMOT
TATACONSUM
HINDALCO
HEROMOTOCO
APOLLOHOSP
UPL
BPCL
TATAMOTORS
INDUSINDBK
BEL
LTIM
SHRIRAMFIN
TRENT
